"Year","cpi_score","iso_3"
1999,8,"DEU"
2000,7.6,"DEU"
2001,7.4,"DEU"
2002,7.3,"DEU"
2003,7.7,"DEU"
2004,8.2,"DEU"
2005,8.2,"DEU"
2006,8,"DEU"
2007,7.8,"DEU"
2008,7.9,"DEU"
2009,8,"DEU"
1998,3.3,"GHA"
1999,3.3,"GHA"
2000,3.5,"GHA"
2001,3.4,"GHA"
2002,3.9,"GHA"
2003,3.3,"GHA"
2004,3.6,"GHA"
2005,3.5,"GHA"
2006,3.3,"GHA"
2007,3.7,"GHA"
2008,3.9,"GHA"
2009,3.9,"GHA"
1998,4.9,"GRC"
1999,4.9,"GRC"
2000,4.9,"GRC"
2001,4.2,"GRC"
2002,4.2,"GRC"
2003,4.3,"GRC"
2004,4.3,"GRC"
2005,4.3,"GRC"
2006,4.4,"GRC"
2007,4.6,"GRC"
2008,4.7,"GRC"
2009,3.8,"GRC"
1998,NA,"GRD"
1999,NA,"GRD"
2000,NA,"GRD"
2001,NA,"GRD"
2002,NA,"GRD"
2003,NA,"GRD"
2004,NA,"GRD"
2005,NA,"GRD"
2006,3.5,"GRD"
2007,3.4,"GRD"
2008,NA,"GRD"
2009,NA,"GRD"
1998,3.1,"GTM"
1999,3.2,"GTM"
2000,NA,"GTM"
2001,2.9,"GTM"
2002,2.5,"GTM"
2003,2.4,"GTM"
2004,2.2,"GTM"
2005,2.5,"GTM"
2006,2.6,"GTM"
2007,2.8,"GTM"
2008,3.1,"GTM"
2009,3.4,"GTM"
1998,NA,"GIN"
1999,NA,"GIN"
2000,NA,"GIN"
2001,NA,"GIN"
2002,NA,"GIN"
2003,NA,"GIN"
2004,NA,"GIN"
2005,NA,"GIN"
2006,1.9,"GIN"
2007,1.9,"GIN"
2008,1.6,"GIN"
2009,1.8,"GIN"
1998,NA,"GNB"
1999,NA,"GNB"
2000,NA,"GNB"
2001,NA,"GNB"
2002,NA,"GNB"
2003,NA,"GNB"
2004,NA,"GNB"
2005,NA,"GNB"
2006,NA,"GNB"
2007,2.2,"GNB"
2008,1.9,"GNB"
2009,1.9,"GNB"
1998,NA,"GUY"
1999,NA,"GUY"
2000,NA,"GUY"
2001,NA,"GUY"
2002,NA,"GUY"
2003,NA,"GUY"
2004,NA,"GUY"
2005,2.5,"GUY"
2006,2.5,"GUY"
2007,2.6,"GUY"
2008,2.6,"GUY"
2009,2.6,"GUY"
1998,NA,"HTI"
1999,NA,"HTI"
2000,NA,"HTI"
2001,NA,"HTI"
2002,2.2,"HTI"
2003,1.5,"HTI"
2004,1.5,"HTI"
2005,1.8,"HTI"
2006,1.8,"HTI"
2007,1.6,"HTI"
2008,1.4,"HTI"
2009,1.8,"HTI"
1998,1.7,"HND"
1999,1.8,"HND"
2000,NA,"HND"
2001,2.7,"HND"
2002,2.7,"HND"
2003,2.3,"HND"
2004,2.3,"HND"
2005,2.6,"HND"
2006,2.5,"HND"
2007,2.5,"HND"
2008,2.6,"HND"
2009,2.5,"HND"
1998,7.8,"HKG"
1999,7.7,"HKG"
2000,7.7,"HKG"
2001,7.9,"HKG"
2002,8.2,"HKG"
2003,8,"HKG"
2004,8,"HKG"
2005,8.3,"HKG"
2006,8.3,"HKG"
2007,8.3,"HKG"
2008,8.1,"HKG"
2009,8.2,"HKG"
1998,5,"HUN"
1999,5.2,"HUN"
2000,5.2,"HUN"
2001,5.3,"HUN"
2002,4.9,"HUN"
2003,4.8,"HUN"
2004,4.8,"HUN"
2005,5,"HUN"
2006,5.2,"HUN"
2007,5.3,"HUN"
2008,5.1,"HUN"
2009,5.1,"HUN"
1998,9.3,"ISL"
1999,9.2,"ISL"
2000,9.1,"ISL"
2001,9.2,"ISL"
2002,9.4,"ISL"
2003,9.6,"ISL"
2004,9.5,"ISL"
2005,9.7,"ISL"
2006,9.6,"ISL"
2007,9.2,"ISL"
2008,8.9,"ISL"
2009,8.7,"ISL"
1998,2.9,"IND"
1999,2.9,"IND"
2000,2.8,"IND"
2001,2.7,"IND"
2002,2.7,"IND"
2003,2.8,"IND"
2004,2.8,"IND"
2005,2.9,"IND"
2006,3.3,"IND"
2007,3.5,"IND"
2008,3.4,"IND"
2009,3.4,"IND"
1998,2,"IDN"
1999,1.7,"IDN"
2000,1.7,"IDN"
2001,1.9,"IDN"
2002,1.9,"IDN"
2003,1.9,"IDN"
2004,2,"IDN"
2005,2.2,"IDN"
2006,2.4,"IDN"
2007,2.3,"IDN"
2008,2.6,"IDN"
2009,2.8,"IDN"
1998,NA,"IRN"
1999,NA,"IRN"
2000,NA,"IRN"
2001,NA,"IRN"
2002,NA,"IRN"
2003,3,"IRN"
2004,2.9,"IRN"
2005,2.9,"IRN"
2006,2.7,"IRN"
2007,2.5,"IRN"
2008,2.3,"IRN"
2009,1.8,"IRN"
1998,NA,"IRQ"
1999,NA,"IRQ"
2000,NA,"IRQ"
2001,NA,"IRQ"
2002,NA,"IRQ"
2003,2.2,"IRQ"
2004,2.1,"IRQ"
2005,2.2,"IRQ"
2006,1.9,"IRQ"
2007,1.5,"IRQ"
2008,1.3,"IRQ"
2009,1.5,"IRQ"
1998,8.2,"IRL"
1999,7.7,"IRL"
2000,7.2,"IRL"
2001,7.5,"IRL"
2002,6.9,"IRL"
2003,7.5,"IRL"
2004,7.5,"IRL"
2005,7.4,"IRL"
2006,7.4,"IRL"
2007,7.5,"IRL"
2008,7.7,"IRL"
2009,8,"IRL"
1998,7.1,"ISR"
1999,6.8,"ISR"
2000,6.6,"ISR"
2001,7.6,"ISR"
2002,7.3,"ISR"
2003,7,"ISR"
2004,6.4,"ISR"
2005,6.3,"ISR"
2006,5.9,"ISR"
2007,6.1,"ISR"
2008,6,"ISR"
2009,6.1,"ISR"
1998,4.6,"ITA"
1999,4.7,"ITA"
2000,4.6,"ITA"
2001,5.5,"ITA"
2002,5.2,"ITA"
2003,5.3,"ITA"
2004,4.8,"ITA"
2005,5,"ITA"
2006,4.9,"ITA"
2007,5.2,"ITA"
2008,4.8,"ITA"
2009,4.3,"ITA"
1998,3.1,"CIV"
1999,2.6,"CIV"
2000,NA,"CIV"
2001,NA,"CIV"
2002,NA,"CIV"
2003,NA,"CIV"
2004,NA,"CIV"
2005,NA,"CIV"
2006,NA,"CIV"
2007,NA,"CIV"
2008,NA,"CIV"
2009,NA,"CIV"
1998,3.8,"JAM"
1999,3.8,"JAM"
2000,NA,"JAM"
2001,NA,"JAM"
2002,4,"JAM"
2003,3.8,"JAM"
2004,3.3,"JAM"
2005,3.6,"JAM"
2006,3.7,"JAM"
2007,3.3,"JAM"
2008,3.1,"JAM"
2009,3,"JAM"
1998,5.8,"JPN"
1999,6,"JPN"
2000,6.4,"JPN"
2001,7.1,"JPN"
2002,7.1,"JPN"
2003,7,"JPN"
2004,6.9,"JPN"
2005,7.3,"JPN"
2006,7.6,"JPN"
2007,7.5,"JPN"
2008,7.3,"JPN"
2009,7.7,"JPN"
1998,4.7,"JOR"
1999,4.4,"JOR"
2000,4.6,"JOR"
2001,4.9,"JOR"
2002,4.5,"JOR"
2003,4.6,"JOR"
2004,5.3,"JOR"
2005,5.7,"JOR"
2006,5.3,"JOR"
2007,4.7,"JOR"
2008,5.1,"JOR"
2009,5,"JOR"
1998,NA,"KAZ"
1999,2.3,"KAZ"
2000,3,"KAZ"
2001,2.7,"KAZ"
2002,2.3,"KAZ"
2003,2.4,"KAZ"
2004,2.2,"KAZ"
2005,2.6,"KAZ"
2006,2.6,"KAZ"
2007,2.1,"KAZ"
2008,2.2,"KAZ"
2009,2.7,"KAZ"
1998,2.5,"KEN"
1999,2,"KEN"
2000,2.1,"KEN"
2001,2,"KEN"
2002,1.9,"KEN"
2003,1.9,"KEN"
2004,2.1,"KEN"
2005,2.1,"KEN"
2006,2.2,"KEN"
2007,2.1,"KEN"
2008,2.1,"KEN"
2009,2.2,"KEN"
1998,NA,"KIR"
1999,NA,"KIR"
2000,NA,"KIR"
2001,NA,"KIR"
2002,NA,"KIR"
2003,NA,"KIR"
2004,NA,"KIR"
2005,NA,"KIR"
2006,NA,"KIR"
2007,3.3,"KIR"
2008,3.1,"KIR"
2009,2.8,"KIR"
1998,NA,"PRK"
1999,NA,"PRK"
2000,NA,"PRK"
2001,NA,"PRK"
2002,NA,"PRK"
2003,NA,"PRK"
2004,NA,"PRK"
2005,NA,"PRK"
2006,NA,"PRK"
2007,NA,"PRK"
2008,NA,"PRK"
2009,NA,"PRK"
1998,NA,"KOR"
1999,NA,"KOR"
2000,NA,"KOR"
2001,NA,"KOR"
2002,NA,"KOR"
2003,NA,"KOR"
2004,NA,"KOR"
2005,NA,"KOR"
2006,NA,"KOR"
2007,NA,"KOR"
2008,NA,"KOR"
2009,5.5,"KOR"
1998,NA,"KSV"
1999,NA,"KSV"
2000,NA,"KSV"
2001,NA,"KSV"
2002,NA,"KSV"
2003,NA,"KSV"
2004,NA,"KSV"
2005,NA,"KSV"
2006,NA,"KSV"
2007,NA,"KSV"
2008,NA,"KSV"
2009,NA,"KSV"
1998,NA,"KWT"
1999,NA,"KWT"
2000,NA,"KWT"
2001,NA,"KWT"
2002,NA,"KWT"
2003,5.3,"KWT"
2004,4.6,"KWT"
2005,4.7,"KWT"
2006,4.8,"KWT"
2007,NA,"KWT"
2008,4.3,"KWT"
2009,4.1,"KWT"
1998,NA,"KWT"
1999,NA,"KWT"
2000,NA,"KWT"
2001,NA,"KWT"
2002,NA,"KWT"
2003,NA,"KWT"
2004,NA,"KWT"
2005,NA,"KWT"
2006,NA,"KWT"
2007,4.3,"KWT"
2008,NA,"KWT"
2009,NA,"KWT"
1998,NA,"KGZ"
1999,2.2,"KGZ"
2000,NA,"KGZ"
2001,NA,"KGZ"
2002,NA,"KGZ"
2003,NA,"KGZ"
2004,NA,"KGZ"
2005,NA,"KGZ"
2006,NA,"KGZ"
2007,NA,"KGZ"
2008,NA,"KGZ"
2009,NA,"KGZ"
1998,NA,"KGZ"
1999,NA,"KGZ"
2000,NA,"KGZ"
2001,NA,"KGZ"
2002,NA,"KGZ"
2003,2.1,"KGZ"
2004,2.2,"KGZ"
2005,2.3,"KGZ"
2006,2.2,"KGZ"
2007,2.1,"KGZ"
2008,1.8,"KGZ"
2009,1.9,"KGZ"
1998,NA,"LAO"
1999,NA,"LAO"
2000,NA,"LAO"
2001,NA,"LAO"
2002,NA,"LAO"
2003,NA,"LAO"
2004,NA,"LAO"
2005,3.3,"LAO"
2006,2.6,"LAO"
2007,1.9,"LAO"
2008,2,"LAO"
2009,2,"LAO"
1998,2.7,"LVA"
1999,3.4,"LVA"
2000,3.4,"LVA"
2001,3.4,"LVA"
2002,3.7,"LVA"
2003,3.8,"LVA"
2004,4,"LVA"
2005,4.2,"LVA"
2006,4.7,"LVA"
2007,4.8,"LVA"
2008,5,"LVA"
2009,4.5,"LVA"
1998,NA,"LBN"
1999,NA,"LBN"
2000,NA,"LBN"
2001,NA,"LBN"
2002,NA,"LBN"
2003,3,"LBN"
2004,2.7,"LBN"
2005,3.1,"LBN"
2006,3.6,"LBN"
2007,3,"LBN"
2008,3,"LBN"
2009,2.5,"LBN"
1998,NA,"LSO"
1999,NA,"LSO"
2000,NA,"LSO"
2001,NA,"LSO"
2002,NA,"LSO"
2003,NA,"LSO"
2004,NA,"LSO"
2005,3.4,"LSO"
2006,3.2,"LSO"
2007,3.3,"LSO"
2008,3.2,"LSO"
2009,3.3,"LSO"
1998,NA,"LBR"
1999,NA,"LBR"
2000,NA,"LBR"
2001,NA,"LBR"
2002,NA,"LBR"
2003,NA,"LBR"
2004,NA,"LBR"
2005,2.2,"LBR"
2006,NA,"LBR"
2007,2.1,"LBR"
2008,2.4,"LBR"
2009,3.1,"LBR"
1998,NA,"LBY"
1999,NA,"LBY"
2000,NA,"LBY"
2001,NA,"LBY"
2002,NA,"LBY"
2003,2.1,"LBY"
2004,2.5,"LBY"
2005,2.5,"LBY"
2006,2.7,"LBY"
2007,2.5,"LBY"
2008,2.6,"LBY"
2009,2.5,"LBY"
1998,NA,"LTU"
1999,3.8,"LTU"
2000,4.1,"LTU"
2001,4.8,"LTU"
2002,4.8,"LTU"
2003,4.7,"LTU"
2004,4.6,"LTU"
2005,4.8,"LTU"
2006,4.8,"LTU"
2007,4.8,"LTU"
2008,4.6,"LTU"
2009,4.9,"LTU"
1998,8.7,"LUX"
1999,8.8,"LUX"
2000,8.6,"LUX"
2001,8.7,"LUX"
2002,9,"LUX"
2003,8.7,"LUX"
2004,8.4,"LUX"
2005,8.5,"LUX"
2006,8.6,"LUX"
2007,8.4,"LUX"
2008,8.3,"LUX"
2009,8.2,"LUX"
1998,NA,"MAC"
1999,NA,"MAC"
2000,NA,"MAC"
2001,NA,"MAC"
2002,NA,"MAC"
2003,NA,"MAC"
2004,NA,"MAC"
2005,NA,"MAC"
2006,6.6,"MAC"
2007,5.7,"MAC"
2008,5.4,"MAC"
2009,5.3,"MAC"
1998,NA,"MKD"
1999,3.3,"MKD"
2000,NA,"MKD"
2001,NA,"MKD"
2002,NA,"MKD"
2003,2.3,"MKD"
2004,2.7,"MKD"
2005,2.7,"MKD"
2006,2.7,"MKD"
2007,NA,"MKD"
2008,NA,"MKD"
2009,NA,"MKD"
1998,NA,"MKD"
1999,NA,"MKD"
2000,NA,"MKD"
2001,NA,"MKD"
2002,NA,"MKD"
2003,NA,"MKD"
2004,NA,"MKD"
2005,NA,"MKD"
2006,NA,"MKD"
2007,NA,"MKD"
2008,3.6,"MKD"
2009,NA,"MKD"
1998,NA,"MDG"
1999,NA,"MDG"
2000,NA,"MDG"
2001,NA,"MDG"
2002,1.7,"MDG"
2003,2.6,"MDG"
2004,3.1,"MDG"
2005,2.8,"MDG"
2006,3.1,"MDG"
2007,3.2,"MDG"
2008,3.4,"MDG"
2009,3,"MDG"
1998,4.1,"MWI"
1999,4.1,"MWI"
2000,4.1,"MWI"
2001,3.2,"MWI"
2002,2.9,"MWI"
2003,2.8,"MWI"
2004,2.8,"MWI"
2005,2.8,"MWI"
2006,2.7,"MWI"
2007,2.7,"MWI"
2008,2.8,"MWI"
2009,3.3,"MWI"
1998,5.3,"MYS"
1999,5.1,"MYS"
2000,4.8,"MYS"
2001,5,"MYS"
2002,4.9,"MYS"
2003,5.2,"MYS"
2004,5,"MYS"
2005,5.1,"MYS"
2006,5,"MYS"
2007,5.1,"MYS"
2008,5.1,"MYS"
2009,4.5,"MYS"
1998,NA,"MDV"
1999,NA,"MDV"
2000,NA,"MDV"
2001,NA,"MDV"
2002,NA,"MDV"
2003,NA,"MDV"
2004,NA,"MDV"
2005,NA,"MDV"
2006,NA,"MDV"
2007,3.3,"MDV"
2008,2.8,"MDV"
2009,2.5,"MDV"
1998,NA,"MLI"
1999,NA,"MLI"
2000,NA,"MLI"
2001,NA,"MLI"
2002,NA,"MLI"
2003,3,"MLI"
2004,3.2,"MLI"
2005,2.9,"MLI"
2006,2.8,"MLI"
2007,2.7,"MLI"
2008,3.1,"MLI"
2009,2.8,"MLI"
1998,NA,"MLT"
1999,NA,"MLT"
2000,NA,"MLT"
2001,NA,"MLT"
2002,NA,"MLT"
2003,NA,"MLT"
2004,6.8,"MLT"
2005,6.6,"MLT"
2006,6.4,"MLT"
2007,5.8,"MLT"
2008,5.8,"MLT"
2009,5.2,"MLT"
1998,NA,"MRT"
1999,NA,"MRT"
2000,NA,"MRT"
2001,NA,"MRT"
2002,NA,"MRT"
2003,NA,"MRT"
2004,NA,"MRT"
2005,NA,"MRT"
2006,3.1,"MRT"
2007,2.6,"MRT"
2008,2.8,"MRT"
2009,2.5,"MRT"
1998,5,"MUS"
1999,4.9,"MUS"
2000,4.7,"MUS"
2001,4.5,"MUS"
2002,4.5,"MUS"
2003,4.4,"MUS"
2004,4.1,"MUS"
2005,4.2,"MUS"
2006,5.1,"MUS"
2007,4.7,"MUS"
2008,5.5,"MUS"
2009,5.4,"MUS"
1998,3.3,"MEX"
1999,3.4,"MEX"
2000,3.3,"MEX"
2001,3.7,"MEX"
2002,3.6,"MEX"
2003,3.6,"MEX"
2004,3.6,"MEX"
2005,3.5,"MEX"
2006,3.3,"MEX"
2007,3.5,"MEX"
2008,3.6,"MEX"
2009,3.3,"MEX"
1998,NA,"MDA"
1999,2.6,"MDA"
2000,2.6,"MDA"
2001,3.1,"MDA"
2002,2.1,"MDA"
2003,2.4,"MDA"
2004,2.3,"MDA"
2005,2.9,"MDA"
2006,3.2,"MDA"
2007,NA,"MDA"
2008,2.9,"MDA"
2009,3.3,"MDA"
1998,NA,"MDA"
1999,NA,"MDA"
2000,NA,"MDA"
2001,NA,"MDA"
2002,NA,"MDA"
2003,NA,"MDA"
2004,NA,"MDA"
2005,NA,"MDA"
2006,NA,"MDA"
2007,2.8,"MDA"
2008,NA,"MDA"
2009,NA,"MDA"
1998,NA,"MNG"
1999,4.3,"MNG"
2000,NA,"MNG"
2001,NA,"MNG"
2002,NA,"MNG"
2003,NA,"MNG"
2004,3,"MNG"
2005,3,"MNG"
2006,2.8,"MNG"
2007,3,"MNG"
2008,3,"MNG"
2009,2.7,"MNG"
1998,NA,"MNE"
1999,NA,"MNE"
2000,NA,"MNE"
2001,NA,"MNE"
2002,NA,"MNE"
2003,NA,"MNE"
2004,NA,"MNE"
2005,NA,"MNE"
2006,NA,"MNE"
2007,3.3,"MNE"
2008,3.4,"MNE"
2009,3.9,"MNE"
1998,3.7,"MAR"
1999,4.1,"MAR"
2000,4.7,"MAR"
2001,NA,"MAR"
2002,3.7,"MAR"
2003,3.3,"MAR"
2004,3.2,"MAR"
2005,3.2,"MAR"
2006,3.2,"MAR"
2007,3.5,"MAR"
2008,3.5,"MAR"
2009,3.3,"MAR"
1998,NA,"MOZ"
1999,3.5,"MOZ"
2000,2.2,"MOZ"
2001,NA,"MOZ"
2002,NA,"MOZ"
2003,2.7,"MOZ"
2004,2.8,"MOZ"
2005,2.8,"MOZ"
2006,2.8,"MOZ"
2007,2.8,"MOZ"
2008,2.6,"MOZ"
2009,2.5,"MOZ"
1998,NA,"MMR"
1999,NA,"MMR"
2000,NA,"MMR"
2001,NA,"MMR"
2002,NA,"MMR"
2003,1.6,"MMR"
2004,1.7,"MMR"
2005,1.8,"MMR"
2006,1.9,"MMR"
2007,1.4,"MMR"
2008,1.3,"MMR"
2009,1.4,"MMR"
1998,5.3,"NAM"
1999,5.3,"NAM"
2000,5.4,"NAM"
2001,5.4,"NAM"
2002,5.7,"NAM"
2003,4.7,"NAM"
2004,4.1,"NAM"
2005,4.3,"NAM"
2006,4.1,"NAM"
2007,4.5,"NAM"
2008,4.5,"NAM"
2009,4.5,"NAM"
1998,NA,"NPL"
1999,NA,"NPL"
2000,NA,"NPL"
2001,NA,"NPL"
2002,NA,"NPL"
2003,NA,"NPL"
2004,2.8,"NPL"
2005,2.5,"NPL"
2006,2.5,"NPL"
2007,2.5,"NPL"
2008,2.7,"NPL"
2009,2.3,"NPL"
1998,9,"NLD"
1999,9,"NLD"
2000,8.9,"NLD"
2001,8.8,"NLD"
2002,9,"NLD"
2003,8.9,"NLD"
2004,8.7,"NLD"
2005,8.6,"NLD"
2006,8.7,"NLD"
2007,9,"NLD"
2008,8.9,"NLD"
2009,8.9,"NLD"
1998,9.4,"NZL"
1999,9.4,"NZL"
2000,9.4,"NZL"
2001,9.4,"NZL"
2002,9.5,"NZL"
2003,9.5,"NZL"
2004,9.6,"NZL"
2005,9.6,"NZL"
2006,9.6,"NZL"
2007,9.4,"NZL"
2008,9.3,"NZL"
2009,9.4,"NZL"
1998,3,"NIC"
1999,3.1,"NIC"
2000,NA,"NIC"
2001,2.4,"NIC"
2002,2.5,"NIC"
2003,2.6,"NIC"
2004,2.7,"NIC"
2005,2.6,"NIC"
2006,2.6,"NIC"
2007,2.6,"NIC"
2008,2.5,"NIC"
2009,2.5,"NIC"
1998,NA,"NER"
1999,NA,"NER"
2000,NA,"NER"
2001,NA,"NER"
2002,NA,"NER"
2003,NA,"NER"
2004,2.2,"NER"
2005,2.4,"NER"
2006,2.3,"NER"
2007,2.6,"NER"
2008,2.8,"NER"
2009,2.9,"NER"
1998,1.9,"NGA"
1999,1.6,"NGA"
2000,1.2,"NGA"
2001,1,"NGA"
2002,1.6,"NGA"
2003,1.4,"NGA"
2004,1.6,"NGA"
2005,1.9,"NGA"
2006,2.2,"NGA"
2007,2.2,"NGA"
2008,2.7,"NGA"
2009,2.5,"NGA"
1998,9,"NOR"
1999,8.9,"NOR"
2000,9.1,"NOR"
2001,8.6,"NOR"
2002,8.5,"NOR"
2003,8.8,"NOR"
2004,8.9,"NOR"
2005,8.9,"NOR"
2006,8.8,"NOR"
2007,8.7,"NOR"
2008,7.9,"NOR"
2009,8.6,"NOR"
1998,NA,"OMN"
1999,NA,"OMN"
2000,NA,"OMN"
2001,NA,"OMN"
2002,NA,"OMN"
2003,6.3,"OMN"
2004,6.1,"OMN"
2005,6.3,"OMN"
2006,5.4,"OMN"
2007,4.7,"OMN"
2008,5.5,"OMN"
2009,5.5,"OMN"
1998,2.7,"PAK"
1999,2.2,"PAK"
2000,NA,"PAK"
2001,2.3,"PAK"
2002,2.6,"PAK"
2003,2.5,"PAK"
2004,2.1,"PAK"
2005,2.1,"PAK"
2006,2.2,"PAK"
2007,2.4,"PAK"
2008,2.5,"PAK"
2009,2.4,"PAK"
1998,NA,"PSE"
1999,NA,"PSE"
2000,NA,"PSE"
2001,NA,"PSE"
2002,NA,"PSE"
2003,3,"PSE"
2004,NA,"PSE"
2005,2.6,"PSE"
2006,NA,"PSE"
2007,NA,"PSE"
2008,NA,"PSE"
2009,NA,"PSE"
1998,NA,"PSE"
1999,NA,"PSE"
2000,NA,"PSE"
2001,NA,"PSE"
2002,NA,"PSE"
2003,NA,"PSE"
2004,2.5,"PSE"
2005,NA,"PSE"
2006,NA,"PSE"
2007,NA,"PSE"
2008,NA,"PSE"
2009,NA,"PSE"
1998,NA,"PAN"
1999,NA,"PAN"
2000,NA,"PAN"
2001,3.7,"PAN"
2002,3,"PAN"
2003,3.4,"PAN"
2004,3.7,"PAN"
2005,3.5,"PAN"
2006,3.1,"PAN"
2007,3.2,"PAN"
2008,3.4,"PAN"
2009,3.4,"PAN"
1998,NA,"PNG"
1999,NA,"PNG"
2000,NA,"PNG"
2001,NA,"PNG"
2002,NA,"PNG"
2003,2.1,"PNG"
2004,2.6,"PNG"
2005,2.3,"PNG"
2006,2.4,"PNG"
2007,2,"PNG"
2008,2,"PNG"
2009,2.1,"PNG"
1998,1.5,"PRY"
1999,2,"PRY"
2000,NA,"PRY"
2001,NA,"PRY"
2002,1.7,"PRY"
2003,1.6,"PRY"
2004,1.9,"PRY"
2005,2.1,"PRY"
2006,2.6,"PRY"
2007,2.4,"PRY"
2008,2.4,"PRY"
2009,2.1,"PRY"
1998,4.5,"PER"
1999,4.5,"PER"
2000,4.4,"PER"
2001,4.1,"PER"
2002,4,"PER"
2003,3.7,"PER"
2004,3.5,"PER"
2005,3.5,"PER"
2006,3.3,"PER"
2007,3.5,"PER"
2008,3.6,"PER"
2009,3.7,"PER"
1998,3.3,"PHL"
1999,3.6,"PHL"
2000,2.8,"PHL"
2001,2.9,"PHL"
2002,2.6,"PHL"
2003,2.5,"PHL"
2004,2.6,"PHL"
2005,2.5,"PHL"
2006,2.5,"PHL"
2007,2.5,"PHL"
2008,2.3,"PHL"
2009,2.4,"PHL"
1998,4.6,"POL"
1999,4.2,"POL"
2000,4.1,"POL"
2001,4.1,"POL"
2002,4,"POL"
2003,3.6,"POL"
2004,3.5,"POL"
2005,3.4,"POL"
2006,3.7,"POL"
2007,4.2,"POL"
2008,4.6,"POL"
2009,5,"POL"
1998,6.5,"PRT"
1999,6.7,"PRT"
2000,6.4,"PRT"
2001,6.3,"PRT"
2002,6.3,"PRT"
2003,6.6,"PRT"
2004,6.3,"PRT"
2005,6.5,"PRT"
2006,6.6,"PRT"
2007,6.5,"PRT"
2008,6.1,"PRT"
2009,5.8,"PRT"
1998,NA,"PRI"
1999,NA,"PRI"
2000,NA,"PRI"
2001,NA,"PRI"
2002,NA,"PRI"
2003,NA,"PRI"
